group_id,source,fold,total_n,positive_n,negative_n
filename_bucket_1000:869,numeric_filename_bucket,3,60,25,35
filename_bucket_1000:872,numeric_filename_bucket,3,112,76,36
filename_bucket_1000:882,numeric_filename_bucket,3,94,27,67
filename_bucket_1000:928,numeric_filename_bucket,3,93,6,87
filename_bucket_1000:933,numeric_filename_bucket,3,134,56,78
filename_bucket_1000:947,numeric_filename_bucket,3,81,54,27
filename_bucket_1000:954,numeric_filename_bucket,3,94,51,43
filename_bucket_1000:965,numeric_filename_bucket,3,93,24,69
filename_bucket_1000:972,numeric_filename_bucket,3,89,5,84
filename_bucket_1000:983,numeric_filename_bucket,3,112,79,33
filename_bucket_1000:985,numeric_filename_bucket,3,125,102,23
filename_bucket_1000:990,numeric_filename_bucket,3,108,41,67
filename_bucket_1000:998,numeric_filename_bucket,3,77,4,73
filename_bucket_1000:1000,numeric_filename_bucket,4,78,18,60
filename_bucket_1000:1014,numeric_filename_bucket,4,111,7,104
filename_bucket_1000:1016,numeric_filename_bucket,4,116,51,65
filename_bucket_1000:1030,numeric_filename_bucket,4,95,24,71
filename_bucket_1000:1071,numeric_filename_bucket,4,106,25,81
filename_bucket_1000:1074,numeric_filename_bucket,4,80,4,76
filename_bucket_1000:1081,numeric_filename_bucket,4,108,74,34
filename_bucket_1000:1083,numeric_filename_bucket,4,131,117,14
filename_bucket_1000:1086,numeric_filename_bucket,4,104,26,78
filename_bucket_1000:1093,numeric_filename_bucket,4,140,90,50
filename_bucket_1000:1114,numeric_filename_bucket,4,106,16,90
filename_bucket_1000:1116,numeric_filename_bucket,4,82,42,40
filename_bucket_1000:1148,numeric_filename_bucket,4,59,20,39
filename_bucket_1000:1150,numeric_filename_bucket,4,49,25,24
filename_bucket_1000:1159,numeric_filename_bucket,4,76,35,41
filename_bucket_1000:1171,numeric_filename_bucket,4,128,74,54
filename_bucket_1000:1180,numeric_filename_bucket,4,79,53,26
filename_bucket_1000:1183,numeric_filename_bucket,4,121,78,43
filename_bucket_1000:1184,numeric_filename_bucket,4,147,98,49
filename_bucket_1000:1200,numeric_filename_bucket,4,159,118,41
filename_bucket_1000:1205,numeric_filename_bucket,4,78,41,37
filename_bucket_1000:1208,numeric_filename_bucket,4,76,38,38
filename_bucket_1000:1211,numeric_filename_bucket,4,107,29,78
filename_bucket_1000:1224,numeric_filename_bucket,4,106,76,30
filename_bucket_1000:1238,numeric_filename_bucket,4,65,10,55
filename_bucket_1000:1239,numeric_filename_bucket,4,71,1,70
filename_bucket_1000:1244,numeric_filename_bucket,4,142,84,58
filename_bucket_1000:1251,numeric_filename_bucket,4,87,23,64
filename_bucket_1000:1267,numeric_filename_bucket,4,134,78,56
filename_bucket_1000:1295,numeric_filename_bucket,4,117,46,71
filename_bucket_1000:1300,numeric_filename_bucket,4,21,0,21
filename_bucket_1000:146,numeric_filename_bucket,4,105,97,8
filename_bucket_1000:152,numeric_filename_bucket,4,100,98,2
filename_bucket_1000:154,numeric_filename_bucket,4,97,84,13
filename_bucket_1000:167,numeric_filename_bucket,4,96,79,17
filename_bucket_1000:173,numeric_filename_bucket,4,64,20,44
filename_bucket_1000:194,numeric_filename_bucket,4,94,31,63
filename_bucket_1000:198,numeric_filename_bucket,4,82,77,5
filename_bucket_1000:199,numeric_filename_bucket,4,109,108,1
filename_bucket_1000:204,numeric_filename_bucket,4,110,77,33
filename_bucket_1000:220,numeric_filename_bucket,4,74,29,45
filename_bucket_1000:227,numeric_filename_bucket,4,88,18,70
filename_bucket_1000:251,numeric_filename_bucket,4,97,9,88
filename_bucket_1000:262,numeric_filename_bucket,4,83,10,73
filename_bucket_1000:270,numeric_filename_bucket,4,72,9,63
filename_bucket_1000:277,numeric_filename_bucket,4,107,50,57
filename_bucket_1000:282,numeric_filename_bucket,4,156,61,95
filename_bucket_1000:291,numeric_filename_bucket,4,126,66,60
filename_bucket_1000:308,numeric_filename_bucket,4,89,68,21
filename_bucket_1000:317,numeric_filename_bucket,4,91,24,67
filename_bucket_1000:319,numeric_filename_bucket,4,112,19,93
filename_bucket_1000:341,numeric_filename_bucket,4,83,46,37
filename_bucket_1000:350,numeric_filename_bucket,4,70,16,54
filename_bucket_1000:358,numeric_filename_bucket,4,56,11,45
filename_bucket_1000:367,numeric_filename_bucket,4,69,1,68
filename_bucket_1000:375,numeric_filename_bucket,4,133,8,125
filename_bucket_1000:398,numeric_filename_bucket,4,114,100,14
filename_bucket_1000:400,numeric_filename_bucket,4,106,95,11
filename_bucket_1000:408,numeric_filename_bucket,4,104,93,11
filename_bucket_1000:415,numeric_filename_bucket,4,82,32,50
filename_bucket_1000:419,numeric_filename_bucket,4,107,79,28
filename_bucket_1000:423,numeric_filename_bucket,4,97,77,20
filename_bucket_1000:427,numeric_filename_bucket,4,91,72,19
filename_bucket_1000:428,numeric_filename_bucket,4,73,51,22
filename_bucket_1000:448,numeric_filename_bucket,4,76,32,44
filename_bucket_1000:466,numeric_filename_bucket,4,79,77,2
filename_bucket_1000:486,numeric_filename_bucket,4,70,43,27
filename_bucket_1000:507,numeric_filename_bucket,4,208,197,11
filename_bucket_1000:516,numeric_filename_bucket,4,65,3,62
filename_bucket_1000:528,numeric_filename_bucket,4,105,46,59
filename_bucket_1000:531,numeric_filename_bucket,4,113,3,110
filename_bucket_1000:542,numeric_filename_bucket,4,133,78,55
filename_bucket_1000:544,numeric_filename_bucket,4,125,96,29
filename_bucket_1000:549,numeric_filename_bucket,4,145,86,59
filename_bucket_1000:553,numeric_filename_bucket,4,102,56,46
filename_bucket_1000:556,numeric_filename_bucket,4,127,69,58
filename_bucket_1000:564,numeric_filename_bucket,4,75,18,57
filename_bucket_1000:565,numeric_filename_bucket,4,105,7,98
filename_bucket_1000:568,numeric_filename_bucket,4,102,100,2
filename_bucket_1000:576,numeric_filename_bucket,4,90,15,75
filename_bucket_1000:588,numeric_filename_bucket,4,96,19,77
filename_bucket_1000:590,numeric_filename_bucket,4,134,22,112
filename_bucket_1000:612,numeric_filename_bucket,4,76,19,57
filename_bucket_1000:618,numeric_filename_bucket,4,102,12,90
filename_bucket_1000:619,numeric_filename_bucket,4,104,1,103
filename_bucket_1000:643,numeric_filename_bucket,4,68,56,12
filename_bucket_1000:652,numeric_filename_bucket,4,132,123,9
filename_bucket_1000:668,numeric_filename_bucket,4,119,92,27
filename_bucket_1000:670,numeric_filename_bucket,4,104,79,25
filename_bucket_1000:675,numeric_filename_bucket,4,78,54,24
filename_bucket_1000:689,numeric_filename_bucket,4,141,130,11
filename_bucket_1000:705,numeric_filename_bucket,4,97,44,53
filename_bucket_1000:727,numeric_filename_bucket,4,89,26,63
filename_bucket_1000:732,numeric_filename_bucket,4,138,101,37
filename_bucket_1000:740,numeric_filename_bucket,4,226,189,37
filename_bucket_1000:748,numeric_filename_bucket,4,78,54,24
filename_bucket_1000:758,numeric_filename_bucket,4,187,128,59
filename_bucket_1000:760,numeric_filename_bucket,4,197,146,51
filename_bucket_1000:785,numeric_filename_bucket,4,126,72,54
filename_bucket_1000:796,numeric_filename_bucket,4,90,7,83
filename_bucket_1000:841,numeric_filename_bucket,4,134,59,75
filename_bucket_1000:845,numeric_filename_bucket,4,85,1,84
filename_bucket_1000:847,numeric_filename_bucket,4,83,1,82
filename_bucket_1000:873,numeric_filename_bucket,4,98,67,31
filename_bucket_1000:876,numeric_filename_bucket,4,72,38,34
filename_bucket_1000:877,numeric_filename_bucket,4,89,50,39
filename_bucket_1000:885,numeric_filename_bucket,4,76,34,42
filename_bucket_1000:902,numeric_filename_bucket,4,92,32,60
filename_bucket_1000:914,numeric_filename_bucket,4,132,96,36
filename_bucket_1000:919,numeric_filename_bucket,4,115,25,90
filename_bucket_1000:962,numeric_filename_bucket,4,104,10,94
filename_bucket_1000:967,numeric_filename_bucket,4,104,12,92
filename_bucket_1000:969,numeric_filename_bucket,4,75,7,68
filename_bucket_1000:976,numeric_filename_bucket,4,101,41,60
filename_bucket_1000:989,numeric_filename_bucket,4,86,59,27
filename_bucket_1000:993,numeric_filename_bucket,4,66,10,56
filename_bucket_1000:994,numeric_filename_bucket,4,89,9,80
filename_bucket_1000:996,numeric_filename_bucket,4,68,0,68
filename_bucket_1000:1001,numeric_filename_bucket,5,111,45,66
filename_bucket_1000:1006,numeric_filename_bucket,5,105,26,79
filename_bucket_1000:1033,numeric_filename_bucket,5,166,139,27
filename_bucket_1000:1053,numeric_filename_bucket,5,115,43,72
filename_bucket_1000:1075,numeric_filename_bucket,5,94,26,68
filename_bucket_1000:1094,numeric_filename_bucket,5,76,8,68
filename_bucket_1000:1105,numeric_filename_bucket,5,132,74,58
filename_bucket_1000:1139,numeric_filename_bucket,5,110,15,95
filename_bucket_1000:1144,numeric_filename_bucket,5,90,3,87
filename_bucket_1000:1146,numeric_filename_bucket,5,164,76,88
filename_bucket_1000:1149,numeric_filename_bucket,5,119,69,50
filename_bucket_1000:1160,numeric_filename_bucket,5,76,41,35
filename_bucket_1000:1175,numeric_filename_bucket,5,89,13,76
filename_bucket_1000:1182,numeric_filename_bucket,5,114,108,6
filename_bucket_1000:1189,numeric_filename_bucket,5,106,55,51
filename_bucket_1000:1203,numeric_filename_bucket,5,113,21,92
filename_bucket_1000:1206,numeric_filename_bucket,5,62,35,27
filename_bucket_1000:1237,numeric_filename_bucket,5,93,8,85
filename_bucket_1000:1249,numeric_filename_bucket,5,142,102,40
filename_bucket_1000:1254,numeric_filename_bucket,5,110,91,19
filename_bucket_1000:1260,numeric_filename_bucket,5,102,13,89
filename_bucket_1000:1268,numeric_filename_bucket,5,82,5,77
filename_bucket_1000:1270,numeric_filename_bucket,5,98,44,54
filename_bucket_1000:1278,numeric_filename_bucket,5,74,31,43
filename_bucket_1000:1281,numeric_filename_bucket,5,93,45,48
filename_bucket_1000:1294,numeric_filename_bucket,5,97,23,74
filename_bucket_1000:158,numeric_filename_bucket,5,85,85,0
filename_bucket_1000:172,numeric_filename_bucket,5,94,56,38
filename_bucket_1000:184,numeric_filename_bucket,5,98,76,22
filename_bucket_1000:206,numeric_filename_bucket,5,77,5,72
filename_bucket_1000:212,numeric_filename_bucket,5,82,13,69
filename_bucket_1000:241,numeric_filename_bucket,5,68,7,61
filename_bucket_1000:265,numeric_filename_bucket,5,96,1,95
filename_bucket_1000:274,numeric_filename_bucket,5,49,4,45
filename_bucket_1000:294,numeric_filename_bucket,5,127,76,51
filename_bucket_1000:301,numeric_filename_bucket,5,106,75,31
filename_bucket_1000:310,numeric_filename_bucket,5,96,72,24
filename_bucket_1000:314,numeric_filename_bucket,5,79,3,76
filename_bucket_1000:322,numeric_filename_bucket,5,117,63,54
filename_bucket_1000:345,numeric_filename_bucket,5,61,17,44
filename_bucket_1000:359,numeric_filename_bucket,5,65,14,51
filename_bucket_1000:372,numeric_filename_bucket,5,121,19,102
filename_bucket_1000:378,numeric_filename_bucket,5,85,13,72
filename_bucket_1000:381,numeric_filename_bucket,5,89,44,45
filename_bucket_1000:394,numeric_filename_bucket,5,98,44,54
filename_bucket_1000:395,numeric_filename_bucket,5,81,63,18
filename_bucket_1000:396,numeric_filename_bucket,5,90,62,28
filename_bucket_1000:405,numeric_filename_bucket,5,100,5,95
filename_bucket_1000:414,numeric_filename_bucket,5,97,46,51
filename_bucket_1000:416,numeric_filename_bucket,5,116,90,26
filename_bucket_1000:420,numeric_filename_bucket,5,95,68,27
filename_bucket_1000:432,numeric_filename_bucket,5,69,60,9
filename_bucket_1000:433,numeric_filename_bucket,5,109,98,11
filename_bucket_1000:437,numeric_filename_bucket,5,85,54,31
filename_bucket_1000:447,numeric_filename_bucket,5,95,15,80
filename_bucket_1000:454,numeric_filename_bucket,5,91,91,0
filename_bucket_1000:455,numeric_filename_bucket,5,144,131,13
filename_bucket_1000:458,numeric_filename_bucket,5,116,24,92
filename_bucket_1000:464,numeric_filename_bucket,5,105,101,4
filename_bucket_1000:475,numeric_filename_bucket,5,93,78,15
filename_bucket_1000:488,numeric_filename_bucket,5,106,94,12
filename_bucket_1000:490,numeric_filename_bucket,5,77,58,19
filename_bucket_1000:492,numeric_filename_bucket,5,82,53,29
filename_bucket_1000:494,numeric_filename_bucket,5,59,18,41
filename_bucket_1000:499,numeric_filename_bucket,5,68,68,0
filename_bucket_1000:500,numeric_filename_bucket,5,99,97,2
filename_bucket_1000:505,numeric_filename_bucket,5,83,66,17
filename_bucket_1000:512,numeric_filename_bucket,5,71,13,58
filename_bucket_1000:521,numeric_filename_bucket,5,73,29,44
filename_bucket_1000:525,numeric_filename_bucket,5,114,73,41
filename_bucket_1000:540,numeric_filename_bucket,5,128,50,78
filename_bucket_1000:547,numeric_filename_bucket,5,126,86,40
filename_bucket_1000:577,numeric_filename_bucket,5,105,1,104
filename_bucket_1000:579,numeric_filename_bucket,5,82,2,80
filename_bucket_1000:584,numeric_filename_bucket,5,106,33,73
filename_bucket_1000:585,numeric_filename_bucket,5,114,9,105
filename_bucket_1000:610,numeric_filename_bucket,5,81,16,65
filename_bucket_1000:614,numeric_filename_bucket,5,84,31,53
filename_bucket_1000:617,numeric_filename_bucket,5,73,31,42
filename_bucket_1000:626,numeric_filename_bucket,5,110,88,22
filename_bucket_1000:634,numeric_filename_bucket,5,116,110,6
filename_bucket_1000:637,numeric_filename_bucket,5,80,58,22
filename_bucket_1000:648,numeric_filename_bucket,5,104,97,7
filename_bucket_1000:657,numeric_filename_bucket,5,103,69,34
filename_bucket_1000:674,numeric_filename_bucket,5,121,100,21
filename_bucket_1000:688,numeric_filename_bucket,5,161,146,15
filename_bucket_1000:697,numeric_filename_bucket,5,150,105,45
filename_bucket_1000:742,numeric_filename_bucket,5,76,75,1
filename_bucket_1000:755,numeric_filename_bucket,5,104,78,26
filename_bucket_1000:756,numeric_filename_bucket,5,110,62,48
filename_bucket_1000:757,numeric_filename_bucket,5,138,104,34
filename_bucket_1000:761,numeric_filename_bucket,5,97,64,33
filename_bucket_1000:793,numeric_filename_bucket,5,71,5,66
filename_bucket_1000:800,numeric_filename_bucket,5,58,4,54
filename_bucket_1000:803,numeric_filename_bucket,5,70,16,54
filename_bucket_1000:809,numeric_filename_bucket,5,95,13,82
filename_bucket_1000:820,numeric_filename_bucket,5,106,67,39
filename_bucket_1000:824,numeric_filename_bucket,5,111,2,109
filename_bucket_1000:832,numeric_filename_bucket,5,313,284,29
filename_bucket_1000:838,numeric_filename_bucket,5,83,23,60
filename_bucket_1000:849,numeric_filename_bucket,5,89,4,85
filename_bucket_1000:865,numeric_filename_bucket,5,90,73,17
filename_bucket_1000:867,numeric_filename_bucket,5,86,55,31
filename_bucket_1000:883,numeric_filename_bucket,5,114,50,64
filename_bucket_1000:894,numeric_filename_bucket,5,90,32,58
filename_bucket_1000:906,numeric_filename_bucket,5,59,13,46
filename_bucket_1000:910,numeric_filename_bucket,5,87,22,65
filename_bucket_1000:937,numeric_filename_bucket,5,88,47,41
filename_bucket_1000:944,numeric_filename_bucket,5,139,61,78
filename_bucket_1000:949,numeric_filename_bucket,5,95,85,10
filename_bucket_1000:958,numeric_filename_bucket,5,57,6,51
filename_bucket_1000:963,numeric_filename_bucket,5,114,40,74
filename_bucket_1000:964,numeric_filename_bucket,5,100,26,74
filename_bucket_1000:970,numeric_filename_bucket,5,65,4,61
filename_bucket_1000:973,numeric_filename_bucket,5,87,0,87
filename_bucket_1000:974,numeric_filename_bucket,5,110,18,92
filename_bucket_1000:979,numeric_filename_bucket,5,116,68,48
filename_bucket_1000:981,numeric_filename_bucket,5,99,53,46
filename_bucket_1000:987,numeric_filename_bucket,5,139,89,50
filename_bucket_1000:995,numeric_filename_bucket,5,115,0,115
filename_bucket_1000:1002,numeric_filename_bucket,6,103,17,86
filename_bucket_1000:1021,numeric_filename_bucket,6,83,58,25
filename_bucket_1000:1028,numeric_filename_bucket,6,82,12,70
filename_bucket_1000:1040,numeric_filename_bucket,6,106,11,95
filename_bucket_1000:1051,numeric_filename_bucket,6,101,42,59
filename_bucket_1000:1057,numeric_filename_bucket,6,85,26,59
filename_bucket_1000:1064,numeric_filename_bucket,6,84,34,50
filename_bucket_1000:1070,numeric_filename_bucket,6,132,53,79
filename_bucket_1000:1076,numeric_filename_bucket,6,79,51,28
filename_bucket_1000:1078,numeric_filename_bucket,6,79,18,61
filename_bucket_1000:1096,numeric_filename_bucket,6,95,41,54
filename_bucket_1000:1100,numeric_filename_bucket,6,105,67,38
filename_bucket_1000:1120,numeric_filename_bucket,6,90,24,66
filename_bucket_1000:1123,numeric_filename_bucket,6,90,13,77
filename_bucket_1000:1126,numeric_filename_bucket,6,91,5,86
filename_bucket_1000:1127,numeric_filename_bucket,6,89,22,67
filename_bucket_1000:1145,numeric_filename_bucket,6,121,24,97
filename_bucket_1000:1157,numeric_filename_bucket,6,91,30,61
filename_bucket_1000:1161,numeric_filename_bucket,6,63,58,5
filename_bucket_1000:1162,numeric_filename_bucket,6,132,118,14
filename_bucket_1000:1165,numeric_filename_bucket,6,129,78,51
filename_bucket_1000:1196,numeric_filename_bucket,6,110,75,35
filename_bucket_1000:1197,numeric_filename_bucket,6,129,90,39
filename_bucket_1000:1217,numeric_filename_bucket,6,111,35,76
filename_bucket_1000:1236,numeric_filename_bucket,6,126,67,59
filename_bucket_1000:1248,numeric_filename_bucket,6,127,88,39
filename_bucket_1000:1252,numeric_filename_bucket,6,105,105,0
filename_bucket_1000:1253,numeric_filename_bucket,6,109,88,21
filename_bucket_1000:1259,numeric_filename_bucket,6,95,5,90
filename_bucket_1000:1273,numeric_filename_bucket,6,125,104,21
filename_bucket_1000:1275,numeric_filename_bucket,6,104,27,77
filename_bucket_1000:1279,numeric_filename_bucket,6,59,28,31
filename_bucket_1000:1283,numeric_filename_bucket,6,115,26,89
filename_bucket_1000:1287,numeric_filename_bucket,6,96,11,85
filename_bucket_1000:160,numeric_filename_bucket,6,118,105,13
filename_bucket_1000:164,numeric_filename_bucket,6,130,75,55
filename_bucket_1000:165,numeric_filename_bucket,6,101,83,18
filename_bucket_1000:169,numeric_filename_bucket,6,141,119,22
filename_bucket_1000:175,numeric_filename_bucket,6,110,44,66
filename_bucket_1000:188,numeric_filename_bucket,6,90,18,72
filename_bucket_1000:193,numeric_filename_bucket,6,111,36,75
filename_bucket_1000:197,numeric_filename_bucket,6,110,82,28
filename_bucket_1000:211,numeric_filename_bucket,6,111,9,102
filename_bucket_1000:223,numeric_filename_bucket,6,251,216,35
filename_bucket_1000:228,numeric_filename_bucket,6,82,15,67
filename_bucket_1000:234,numeric_filename_bucket,6,74,20,54
filename_bucket_1000:237,numeric_filename_bucket,6,94,14,80
filename_bucket_1000:243,numeric_filename_bucket,6,104,15,89
filename_bucket_1000:286,numeric_filename_bucket,6,107,49,58
filename_bucket_1000:298,numeric_filename_bucket,6,55,14,41
filename_bucket_1000:304,numeric_filename_bucket,6,87,73,14
filename_bucket_1000:323,numeric_filename_bucket,6,164,101,63
filename_bucket_1000:327,numeric_filename_bucket,6,75,4,71
filename_bucket_1000:334,numeric_filename_bucket,6,110,6,104
filename_bucket_1000:370,numeric_filename_bucket,6,112,2,110
filename_bucket_1000:374,numeric_filename_bucket,6,116,2,114
filename_bucket_1000:385,numeric_filename_bucket,6,72,59,13
filename_bucket_1000:397,numeric_filename_bucket,6,109,66,43
filename_bucket_1000:401,numeric_filename_bucket,6,58,43,15
filename_bucket_1000:409,numeric_filename_bucket,6,131,109,22
filename_bucket_1000:411,numeric_filename_bucket,6,91,16,75
filename_bucket_1000:412,numeric_filename_bucket,6,81,0,81
filename_bucket_1000:422,numeric_filename_bucket,6,107,96,11
filename_bucket_1000:451,numeric_filename_bucket,6,70,26,44
filename_bucket_1000:452,numeric_filename_bucket,6,91,27,64
filename_bucket_1000:456,numeric_filename_bucket,6,55,4,51
filename_bucket_1000:468,numeric_filename_bucket,6,169,119,50
filename_bucket_1000:473,numeric_filename_bucket,6,83,44,39
filename_bucket_1000:483,numeric_filename_bucket,6,112,80,32
filename_bucket_1000:491,numeric_filename_bucket,6,89,55,34
filename_bucket_1000:510,numeric_filename_bucket,6,143,142,1
filename_bucket_1000:520,numeric_filename_bucket,6,90,40,50
filename_bucket_1000:539,numeric_filename_bucket,6,90,44,46
filename_bucket_1000:543,numeric_filename_bucket,6,127,61,66
filename_bucket_1000:558,numeric_filename_bucket,6,153,86,67
filename_bucket_1000:563,numeric_filename_bucket,6,67,1,66
filename_bucket_1000:567,numeric_filename_bucket,6,85,73,12
filename_bucket_1000:594,numeric_filename_bucket,6,138,91,47
filename_bucket_1000:598,numeric_filename_bucket,6,96,93,3
filename_bucket_1000:608,numeric_filename_bucket,6,74,2,72
filename_bucket_1000:613,numeric_filename_bucket,6,79,34,45
filename_bucket_1000:620,numeric_filename_bucket,6,107,14,93
filename_bucket_1000:639,numeric_filename_bucket,6,100,67,33
filename_bucket_1000:664,numeric_filename_bucket,6,142,109,33
filename_bucket_1000:678,numeric_filename_bucket,6,177,153,24
filename_bucket_1000:692,numeric_filename_bucket,6,84,79,5
filename_bucket_1000:702,numeric_filename_bucket,6,86,37,49
filename_bucket_1000:704,numeric_filename_bucket,6,153,135,18
filename_bucket_1000:713,numeric_filename_bucket,6,139,105,34
filename_bucket_1000:714,numeric_filename_bucket,6,122,83,39
filename_bucket_1000:744,numeric_filename_bucket,6,102,69,33
filename_bucket_1000:747,numeric_filename_bucket,6,101,79,22
filename_bucket_1000:762,numeric_filename_bucket,6,124,77,47
filename_bucket_1000:769,numeric_filename_bucket,6,112,96,16
filename_bucket_1000:776,numeric_filename_bucket,6,123,69,54
filename_bucket_1000:791,numeric_filename_bucket,6,107,85,22
filename_bucket_1000:797,numeric_filename_bucket,6,87,19,68
filename_bucket_1000:801,numeric_filename_bucket,6,74,14,60
filename_bucket_1000:821,numeric_filename_bucket,6,94,2,92
filename_bucket_1000:830,numeric_filename_bucket,6,104,1,103
filename_bucket_1000:839,numeric_filename_bucket,6,114,27,87
filename_bucket_1000:842,numeric_filename_bucket,6,148,46,102
filename_bucket_1000:843,numeric_filename_bucket,6,80,1,79
filename_bucket_1000:866,numeric_filename_bucket,6,112,104,8
filename_bucket_1000:874,numeric_filename_bucket,6,79,45,34
filename_bucket_1000:875,numeric_filename_bucket,6,91,28,63
filename_bucket_1000:890,numeric_filename_bucket,6,98,49,49
filename_bucket_1000:891,numeric_filename_bucket,6,105,40,65
filename_bucket_1000:901,numeric_filename_bucket,6,157,75,82
filename_bucket_1000:904,numeric_filename_bucket,6,65,20,45
filename_bucket_1000:908,numeric_filename_bucket,6,95,9,86
filename_bucket_1000:929,numeric_filename_bucket,6,80,32,48
filename_bucket_1000:936,numeric_filename_bucket,6,109,61,48
filename_bucket_1000:953,numeric_filename_bucket,6,91,50,41
filename_bucket_1000:956,numeric_filename_bucket,6,81,50,31
filename_bucket_1000:1004,numeric_filename_bucket,7,113,36,77
filename_bucket_1000:1008,numeric_filename_bucket,7,97,13,84
filename_bucket_1000:1009,numeric_filename_bucket,7,66,15,51
filename_bucket_1000:1011,numeric_filename_bucket,7,79,0,79
filename_bucket_1000:1017,numeric_filename_bucket,7,209,142,67
filename_bucket_1000:1026,numeric_filename_bucket,7,104,27,77
filename_bucket_1000:1034,numeric_filename_bucket,7,113,97,16
filename_bucket_1000:1047,numeric_filename_bucket,7,56,41,15
filename_bucket_1000:1048,numeric_filename_bucket,7,74,39,35
filename_bucket_1000:1073,numeric_filename_bucket,7,85,6,79
filename_bucket_1000:1085,numeric_filename_bucket,7,97,1,96
filename_bucket_1000:1111,numeric_filename_bucket,7,61,13,48
filename_bucket_1000:1112,numeric_filename_bucket,7,117,34,83
filename_bucket_1000:1113,numeric_filename_bucket,7,109,35,74
filename_bucket_1000:1117,numeric_filename_bucket,7,126,77,49
filename_bucket_1000:1122,numeric_filename_bucket,7,101,21,80
filename_bucket_1000:1132,numeric_filename_bucket,7,79,31,48
filename_bucket_1000:1136,numeric_filename_bucket,7,89,33,56
filename_bucket_1000:1142,numeric_filename_bucket,7,104,18,86
filename_bucket_1000:1147,numeric_filename_bucket,7,104,25,79
filename_bucket_1000:1155,numeric_filename_bucket,7,97,8,89
filename_bucket_1000:1172,numeric_filename_bucket,7,147,132,15
filename_bucket_1000:1179,numeric_filename_bucket,7,114,76,38
filename_bucket_1000:1187,numeric_filename_bucket,7,84,16,68
filename_bucket_1000:1222,numeric_filename_bucket,7,138,58,80
filename_bucket_1000:1257,numeric_filename_bucket,7,73,2,71
filename_bucket_1000:1263,numeric_filename_bucket,7,90,79,11
filename_bucket_1000:1277,numeric_filename_bucket,7,110,40,70
filename_bucket_1000:1288,numeric_filename_bucket,7,119,55,64
filename_bucket_1000:1291,numeric_filename_bucket,7,110,13,97
filename_bucket_1000:1292,numeric_filename_bucket,7,87,12,75
filename_bucket_1000:1296,numeric_filename_bucket,7,101,70,31
filename_bucket_1000:145,numeric_filename_bucket,7,46,37,9
filename_bucket_1000:168,numeric_filename_bucket,7,112,78,34
filename_bucket_1000:177,numeric_filename_bucket,7,91,62,29
filename_bucket_1000:215,numeric_filename_bucket,7,75,21,54
filename_bucket_1000:217,numeric_filename_bucket,7,85,13,72
filename_bucket_1000:235,numeric_filename_bucket,7,65,27,38
filename_bucket_1000:240,numeric_filename_bucket,7,93,14,79
filename_bucket_1000:244,numeric_filename_bucket,7,102,12,90
filename_bucket_1000:263,numeric_filename_bucket,7,60,7,53
filename_bucket_1000:264,numeric_filename_bucket,7,79,6,73
filename_bucket_1000:267,numeric_filename_bucket,7,101,0,101
filename_bucket_1000:288,numeric_filename_bucket,7,88,43,45
filename_bucket_1000:289,numeric_filename_bucket,7,89,42,47
filename_bucket_1000:293,numeric_filename_bucket,7,127,118,9
filename_bucket_1000:328,numeric_filename_bucket,7,79,34,45
filename_bucket_1000:335,numeric_filename_bucket,7,126,17,109
filename_bucket_1000:337,numeric_filename_bucket,7,89,50,39
filename_bucket_1000:346,numeric_filename_bucket,7,83,19,64
filename_bucket_1000:352,numeric_filename_bucket,7,72,22,50
filename_bucket_1000:356,numeric_filename_bucket,7,102,23,79
filename_bucket_1000:417,numeric_filename_bucket,7,132,101,31
filename_bucket_1000:418,numeric_filename_bucket,7,118,101,17
filename_bucket_1000:434,numeric_filename_bucket,7,100,95,5
filename_bucket_1000:440,numeric_filename_bucket,7,77,72,5
filename_bucket_1000:442,numeric_filename_bucket,7,75,62,13
filename_bucket_1000:480,numeric_filename_bucket,7,99,36,63
filename_bucket_1000:484,numeric_filename_bucket,7,67,43,24
filename_bucket_1000:496,numeric_filename_bucket,7,55,12,43
filename_bucket_1000:522,numeric_filename_bucket,7,118,28,90
filename_bucket_1000:527,numeric_filename_bucket,7,137,96,41
filename_bucket_1000:532,numeric_filename_bucket,7,132,28,104
filename_bucket_1000:545,numeric_filename_bucket,7,82,33,49
filename_bucket_1000:546,numeric_filename_bucket,7,97,38,59
filename_bucket_1000:552,numeric_filename_bucket,7,95,41,54
filename_bucket_1000:555,numeric_filename_bucket,7,138,59,79
filename_bucket_1000:566,numeric_filename_bucket,7,92,6,86
filename_bucket_1000:572,numeric_filename_bucket,7,85,81,4
filename_bucket_1000:573,numeric_filename_bucket,7,117,104,13
filename_bucket_1000:591,numeric_filename_bucket,7,117,3,114
filename_bucket_1000:592,numeric_filename_bucket,7,105,31,74
filename_bucket_1000:621,numeric_filename_bucket,7,103,48,55
filename_bucket_1000:628,numeric_filename_bucket,7,86,74,12
filename_bucket_1000:676,numeric_filename_bucket,7,136,111,25
filename_bucket_1000:679,numeric_filename_bucket,7,148,98,50
filename_bucket_1000:680,numeric_filename_bucket,7,154,126,28
filename_bucket_1000:683,numeric_filename_bucket,7,155,108,47
filename_bucket_1000:691,numeric_filename_bucket,7,93,75,18
filename_bucket_1000:707,numeric_filename_bucket,7,109,67,42
