reading_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,broad_source_path,broad_source_format,broad_source_sha256,broad_source_bytes,method_source_path,method_source_format,method_source_sha256,method_source_bytes,method_source_origin,method_source_authority,method_source_url,method_source_receipt_path,method_source_status,screened_credit
79,PRIMARY,P0325,AXB4D35C6558F3F40B,CW12F28373D588C9FE1E43,Repeated Random Sampling for Minimizing the Time-to-Accuracy of Learning,RQ7,RQ6,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,MANDATORY_ANCHOR,3D76A7355A3990A600342248BF96EF6625022D188F37AC0735D8DE800D02666D,sources/P0325.pdf,PDF,926A30E30C2283C2F95C7CB6301651BE7D334C96197E94F255391D4BDC526FB1,653014,sources/P0325.pdf,PDF,926A30E30C2283C2F95C7CB6301651BE7D334C96197E94F255391D4BDC526FB1,653014,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
80,PRIMARY,P0349,RGF50ED803CA18569B,CW37F7787F4A6461055A71,Distill on a Diet: Efficient Knowledge Distillation via Learnable Data Pruning,RQ2,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,3E1FCECBC066A8D59D144B34C607B1834EFA7320920606ECF868DF9EA3A6CC3C,sources/P0349.pdf,PDF,9C990060F4B9CDA4E70A9A0728162A7DFC6610DD178DF95A0FCA9853595C5648,2229970,sources/P0349.pdf,PDF,9C990060F4B9CDA4E70A9A0728162A7DFC6610DD178DF95A0FCA9853595C5648,2229970,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
81,PRIMARY,P0087,RGD16B918E822E2FF0,CWC494A29BDDFCC0C7B39B,A Simple and Efficient Baseline for Data Attribution on Images,RQ3,RQ5;RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,RQ_MINIMUM,3E5E04B3BCD9927AC24A35B6DD51828D5686A0AAAF6CEC25E13BE9B162CC992B,sources/P0087.pdf,PDF,1FC59CF9831D8A8B1CA89B86C659BC6C810BEE9A737D355B4796FEFA2004D0F7,3395250,sources/P0087.pdf,PDF,1FC59CF9831D8A8B1CA89B86C659BC6C810BEE9A737D355B4796FEFA2004D0F7,3395250,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
82,PRIMARY,P0130,RG7743F30ED832B3A4,CWD88EE770216AE10F2A94,Reducing annotation effort in agricultural data: simple and fast unsupervised coreset selection with DINOv2 and K-means,RQ7,RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,3F668B150539724460A4E81FA8BE531BB5421BCF4D7DAD274AE9BA909BBF2CA2,sources/P0130.pdf,PDF,DE824E92A7D58F7841D65FD24F8EC0B1F571351570F538CA6035F60CCACD46D9,4224001,sources/P0130.pdf,PDF,DE824E92A7D58F7841D65FD24F8EC0B1F571351570F538CA6035F60CCACD46D9,4224001,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
83,PRIMARY,P0106,RG904A68758AC8060A,CW1AA734F966161AE0A49F,Investigating Active-Learning-Based Training Data Selection for Speech Spoofing Countermeasure,RQ6,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,42E9000E0F60675DC28A93B76DB5666E4B85ED26CF0FBA51908E530DDE3B3A7F,sources/P0106.pdf,PDF,7B07775ED214C0A12359AA84C1F77EBA88100CFEF1CA49C93A10771A569A7EFC,544247,sources/P0106.pdf,PDF,7B07775ED214C0A12359AA84C1F77EBA88100CFEF1CA49C93A10771A569A7EFC,544247,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
84,PRIMARY,P0479,RG96ED71161DE9A09A,CWC1C023FA7FF5838C75B6,Cross-Platform Chinese Offensive Comment Detection via Dual-Threshold Hard Example Mining,RQ4,RQ1;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4303854BE9957B987CFA7734335C79F2EAECC203F787C9C25D8B7593FFC63066,sources/P0479.pdf,PDF,FE9760A4EA79D72DBF11C2427405E453B042F6AB5B8E7E116EDCF100C65281DC,1499290,sources/P0479.pdf,PDF,FE9760A4EA79D72DBF11C2427405E453B042F6AB5B8E7E116EDCF100C65281DC,1499290,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
85,PRIMARY,P0284,RGA6C2960778DCEDE2,CW0C72B17B4D53D2282B33,Estimating Training Data Influence by Tracking Gradient Descent,RQ2,RQ3;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,434DDDE168364DD1A7C9128D6069EFF19835DA1EF50FE2E24ED63B379D930A42,sources/P0284.pdf,PDF,FCA22D32F8F9337C623E5F6B6922BF51938E4625A9E52C34CE2732FDDA225DE2,6742272,sources/P0284.pdf,PDF,FCA22D32F8F9337C623E5F6B6922BF51938E4625A9E52C34CE2732FDDA225DE2,6742272,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
86,PRIMARY,P0288,RG32D4D9393A420EF5,CW3DCFDABE87EF22C2B843,Curriculum Learning for Speech Emotion Recognition From Crowdsourced Labels,RQ2,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4394D15457B2BB4B1FFBCDA677123871632256AC32A67F57159DA75CD2C0B91D,sources/P0288.pdf,PDF,FCA02C46EE71B9C22A43331652B10D66606CE3E99F9B65BE26B89EFF09B66BE4,7211010,sources/P0288.pdf,PDF,FCA02C46EE71B9C22A43331652B10D66606CE3E99F9B65BE26B89EFF09B66BE4,7211010,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
87,PRIMARY,P0151,RGA80193BF398DF2BD,CW152BC38D8C913ED84FAE,Interpreting single-cell and spatial omics data using deep neural network training dynamics,RQ4,RQ1,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,43D2A650010D763D5D4F5BF40FF8BC9C05FD0E61BF2930F3344D1E6AD9DC27CB,sources/P0151.pdf,PDF,B8FCF866329EE43EF1DC7E14834F79EBD8A3F63D18FFB1A08A759EA617A19874,3963620,sources/P0151.pdf,PDF,B8FCF866329EE43EF1DC7E14834F79EBD8A3F63D18FFB1A08A759EA617A19874,3963620,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
88,PRIMARY,P0391,RG7E677DD0FC313E33,CW3051860F57361E503689,Unsupervised Fine-Tuning Data Selection for ASR Using Self-Supervised Speech Models,RQ4,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,44D63575171FCE746F8997E69C1EDAC1B05053D7EFD99C2ACA95EA10A6CA05CD,sources/P0391.pdf,PDF,DF366FADF2AF9E6D0462C6F2B83BBE6F9257219F8A453107FF2728DA78851B3C,390899,sources/P0391.pdf,PDF,DF366FADF2AF9E6D0462C6F2B83BBE6F9257219F8A453107FF2728DA78851B3C,390899,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
89,PRIMARY,P0099,RG39E7D2C2EB164929,CWE215FDB5435808058DC7,DynClean: Training Dynamics-based Label Cleaning for Distantly-Supervised Named Entity Recognition,RQ4,RQ1,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,46D8DD86CE93E053458A73C3FA5F408BFA6C65F7749A9638828BFE2F37125D99,sources/P0099.pdf,PDF,0C157EDDA2144C960BA84976973657B7BB30B8A11460D582FCF6913F7C7DD62F,1246563,sources/P0099.pdf,PDF,0C157EDDA2144C960BA84976973657B7BB30B8A11460D582FCF6913F7C7DD62F,1246563,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
90,PRIMARY,P0032,RG3EFA4F2CB8C3FD4C,CWCAE13ABD789B845B7098,Identifying Noise in Human-Created Datasets using Training Dynamics from Generative Models,RQ4,RQ1,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,47D8E4300224E837E60365FF8762E9A2C69A017B180F3A0DEA222987D9AA6FD2,sources/P0032.pdf,PDF,5A931405402EEFFAFC7B6E6D5D1C9C446732ABDA7A124CA0DDDBFE5DEDF3237C,3157440,sources/P0032.pdf,PDF,5A931405402EEFFAFC7B6E6D5D1C9C446732ABDA7A124CA0DDDBFE5DEDF3237C,3157440,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
91,PRIMARY,P0205,RGA9766A480B677D25,CWD23DC49A89CECC146B85,Learning What Matters: Prioritized Concept Learning via Relative Error-driven Sample Selection,RQ2,RQ1;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,489244CF6295EBED380E0643BB735F966F4C58B39F6855214310D1C4BD1024F5,sources/P0205.pdf,PDF,ECA725659A77A3F0DF0EAC951A67529CC6264F786AB1571AFD6C03FF4320B2D0,5553270,sources/P0205.pdf,PDF,ECA725659A77A3F0DF0EAC951A67529CC6264F786AB1571AFD6C03FF4320B2D0,5553270,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
92,PRIMARY,P0401,RG438087AD1A47D500,CW1B352F229F7BC6E5CA99,MAGIC: Near-Optimal Data Attribution for Deep Learning,RQ3,RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,489486B279B3C9B11C59D59790D578C7FCE689DE7B1CFE41FCF30CE928A3D0F9,sources/P0401.pdf,PDF,C9C1D4EF73856F436200FEB89FD8C2C7AAE22D6DE5FAB3B56AF15971EAEA6EEB,267621,sources/P0401.pdf,PDF,C9C1D4EF73856F436200FEB89FD8C2C7AAE22D6DE5FAB3B56AF15971EAEA6EEB,267621,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
93,PRIMARY,P0175,RG5F2B30F793B2BCFB,CWB09C915F9F53753EA7C6,Towards High Supervised Learning Utility Training Data Generation: Data Pruning and Column Reordering,RQ4,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4896659F064F9FE5E8C26BF6BC483A9CF7F7434B1A5FBEF6CA838F097416DB72,sources/P0175.pdf,PDF,28C31245D82F03A59AE34DBE39A81470C23D5294A379D802A3BB63CBE730CCE9,1092439,sources/P0175.pdf,PDF,28C31245D82F03A59AE34DBE39A81470C23D5294A379D802A3BB63CBE730CCE9,1092439,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
94,PRIMARY,P0336,RGB6E5175FEF9960BD,CW4DC40E64A4D9783F809D,On the Effectiveness of Curriculum Learning in Educational Text Scoring,RQ2,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,490B04665446BE0636F71DBF69A00DC05A3C7F8C021BDCA29DFF118A4AD80D7B,sources/P0336.pdf,PDF,B8490C3DEACE07D1E68575C441E8F10005C4944F5A65C272421B8D36F965E8EF,244145,sources/P0336.pdf,PDF,B8490C3DEACE07D1E68575C441E8F10005C4944F5A65C272421B8D36F965E8EF,244145,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
95,PRIMARY,P0271,RG79CD1D77F2683A15,CW97341423D5E5FA2BEA6F,Training Data Selection for Record Linkage Classification,RQ4,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4A6988DB9B9A725132709EC02FB0BED7C0552C051C52517EF62BD502F4EAE478,sources/P0271.pdf,PDF,7578F922A2637FF6DD1AA5A8B35AA1D85EF4849087FB18C277840FE8FDA19CCB,670411,sources/P0271.pdf,PDF,7578F922A2637FF6DD1AA5A8B35AA1D85EF4849087FB18C277840FE8FDA19CCB,670411,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
96,PRIMARY,P0457,RG245A42E2CC8F508E,CWFF9F255564B9129445C5,Directional Influence Function: Estimating Training Data Influence in Constrained Learning,RQ2,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,4B1DF3F906BC512B78992EC8F4B140F69C3A39E97409DDFE7D1CEF3663A1E1A8,sources/P0457.pdf,PDF,24EFCBFC36ADDDF0CB26EF5F78ECE24EBE31A47339505F08CDC0D39343AD8D82,506907,sources/P0457.pdf,PDF,24EFCBFC36ADDDF0CB26EF5F78ECE24EBE31A47339505F08CDC0D39343AD8D82,506907,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
97,PRIMARY,P0031,RGB6DFBF9DB6006A42,CW2B79493D1548F34020BA,Generalizing Off-Policy Learning under Sample Selection Bias,RQ5,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,4BC9E62ACB88E265E16525E7108CF31CE4875BAEED209F392A2B83C089B6E9E5,sources/P0031.pdf,PDF,6EFA6D0CA972245CF48670757248FF29FB9630472F0BB05B4D0B52ACD1605FF0,630377,sources/P0031.pdf,PDF,6EFA6D0CA972245CF48670757248FF29FB9630472F0BB05B4D0B52ACD1605FF0,630377,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
98,PRIMARY,P0434,RG0BFC640E71C90A19,CWD8CAD25B026147B91B1E,RS-Prune: Training-Free Data Pruning at High Ratios for Efficient Remote Sensing Diffusion Foundation Models,RQ4,RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4CF04E31C1832A1CC33E258C5CC2012DAA594451EAEFE9C8E62BC3BF8EC918E2,sources/P0434.pdf,PDF,C9E13CFCF5182458EA84E151355ECC908CDC1F93A58745A0411AB639AE566517,1472275,sources/P0434.pdf,PDF,C9E13CFCF5182458EA84E151355ECC908CDC1F93A58745A0411AB639AE566517,1472275,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
99,PRIMARY,P0208,RG2855429B4B6928E6,CW3C56597046F206267463,PASS: Peer-Agreement based Sample Selection for training with Noisy Labels,RQ4,RQ1;RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,4DC523AF05572BCB3F78B8F668A76B09278B53479103D982F054E628AEBFA38D,sources/P0208.pdf,PDF,12CF9F43299ED4E9030B37C1DA7D10346E211AECB7629DB7C9033E665636CF51,729319,sources/P0208.pdf,PDF,12CF9F43299ED4E9030B37C1DA7D10346E211AECB7629DB7C9033E665636CF51,729319,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
100,PRIMARY,P0103,RG884EC55CA7201C25,CWF500847CB8ED6525F3D3,Data pruning and neural scaling laws: fundamental limitations of score-based algorithms,RQ5,RQ1;RQ2,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,MANDATORY_ANCHOR,4E638B3E0C30221DCAA8031711D1AF3B885BC7933E82FCDC90B64522912E6D2E,sources/P0103.pdf,PDF,AA86DD12B4B6457897CA8119CDA350C8E7E7AE6979D65D57B65F3328067A32A7,2592289,sources/P0103.pdf,PDF,AA86DD12B4B6457897CA8119CDA350C8E7E7AE6979D65D57B65F3328067A32A7,2592289,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
101,PRIMARY,P0400,RGA5EBD152AB01B763,CWBC032AFCC4E1994E33E8,A Study on Training Data Selection Method for EEG Emotion Analysis using Machine Learning Algorithm,RQ5,RQ2,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,50F642EBB5DEC5FE7568460F40D44731D3AC2C9651266EFE307F2F1F93F2DB0A,sources/P0400.pdf,PDF,47A240A115AFDD5A4BCB6468A281469286CF5D8E9F5F04BC04BA45D9B08A588E,465783,sources/P0400.pdf,PDF,47A240A115AFDD5A4BCB6468A281469286CF5D8E9F5F04BC04BA45D9B08A588E,465783,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
102,PRIMARY,P0075,RG9FA3C12D2147A460,CW6C0BF6537DFBB5C10C15,A Neyman-Pearson Approach to Statistical Learning,RQ8,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,MANDATORY_ANCHOR,51D6789E15493B0C029851885441AF12E6F659AEADEB72B928BE12EE73FD8C28,sources/P0075.pdf,PDF,E0336648125BB19F29C5E7C2FE3A19184D1E30107F3BB593B86CFBDA65866EB3,298304,sources/P0075.pdf,PDF,E0336648125BB19F29C5E7C2FE3A19184D1E30107F3BB593B86CFBDA65866EB3,298304,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
103,PRIMARY,P0047,RG0769FEADDE630325,CW182A731A9A027DFB2E76,Meta-Guided Sample Reweighting for Robust Cross-Modal Hashing Retrieval with Noisy Labels,RQ3,RQ4,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,51EFB16E42D0C0142781C3DBFD2C79807407CC91C9214618F879C87C3358EF53,sources/P0047.pdf,PDF,0F2E43709FB1E028E1DA20E35711458FA5B6933B7B2AA57D79C515D080DE5A30,4811806,sources/P0047.pdf,PDF,0F2E43709FB1E028E1DA20E35711458FA5B6933B7B2AA57D79C515D080DE5A30,4811806,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
104,PRIMARY,P0308,RGC463CD9E7E3A1BDA,CWE3F3D7C6280967A42BBC,A Traffic Signal Recognition Algorithm Based on Self-paced Learning and Deep Learning,RQ6,RQ1;RQ2;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,5228BD24C9F0F12052479DE7BE3C2BD570F54E1A94E9C9F82ED5387B30BD61C9,sources/P0308.pdf,PDF,0F92586CE0CEE142E2C535C56BC116C3537F7F760AEA006A984891C6DF0C0872,1221521,sources/P0308.pdf,PDF,0F92586CE0CEE142E2C535C56BC116C3537F7F760AEA006A984891C6DF0C0872,1221521,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
105,PRIMARY,P0405,RG9702F7C85E27472D,CW1128CF8427B259632B54,An assessment of data-centric methods for label noise identification in remote sensing data sets,RQ1,RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,524EE345E38ABECA2D93BB7899BEDA5E85ABA9F6857A81B7199A69A8B7AD2E28,sources/P0405.pdf,PDF,C51E7BB2390952A60D6E0AB92D58651E9EBA4877743959E168B56ADA93D14FBC,6325624,sources/P0405.pdf,PDF,C51E7BB2390952A60D6E0AB92D58651E9EBA4877743959E168B56ADA93D14FBC,6325624,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
106,PRIMARY,P0023,RG7E9FCDBEFADDF1B3,CW008F9B65867560F6BD2D,Selectivity Drives Productivity: Efficient Dataset Pruning for Enhanced Transfer Learning,RQ7,RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,548EDB9226B2D896ADD23408E70EDF1F9BF580D0C7BB046A602A4C0ABDF7B90C,sources/P0023.pdf,PDF,99675F6FC29B7ABC6393C9737C837BDA08CFDD7F034BEDDACFC6FF2434DCE919,17507341,sources/P0023.pdf,PDF,99675F6FC29B7ABC6393C9737C837BDA08CFDD7F034BEDDACFC6FF2434DCE919,17507341,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
107,PRIMARY,P0123,RGEF55B4AA75DDA72D,CWDCF29EDCAD7E6522D3AC,Automatic Lecture Transcription Based on Discriminative Data Selection for Lightly Supervised Acoustic Model Training,RQ4,RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,564F06C1BD6F0C3FE12B44D9122544D50D86464DE11DF41725B8AB1510F38AA8,sources/P0123.pdf,PDF,E838506A5036F48CC621EBD1E7F162494B2BF21942428E9FAB40D400A2F7DC6D,1171961,sources/P0123.pdf,PDF,E838506A5036F48CC621EBD1E7F162494B2BF21942428E9FAB40D400A2F7DC6D,1171961,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
