"view_relative_path","setting","smoke_tag","split","class_name","file_name","source_relative_path_original","source_relative_path_resolved","resolution_mode","source_exists_in_base_dataset"
"weighted_hn14_risk_consistency\train\Abnormal\00146881.png","weighted_hn14_risk_consistency","","train","Abnormal","00146881.png","train\\Abnormal\\00146881.png","train\\Abnormal\\00146881.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00146884.png","weighted_hn14_risk_consistency","","train","Abnormal","00146884.png","train\\Abnormal\\00146884.png","train\\Abnormal\\00146884.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00146894.png","weighted_hn14_risk_consistency","","train","Abnormal","00146894.png","train\\Abnormal\\00146894.png","train\\Abnormal\\00146894.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00146944.png","weighted_hn14_risk_consistency","","train","Abnormal","00146944.png","train\\Abnormal\\00146944.png","train\\Abnormal\\00146944.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00146945.png","weighted_hn14_risk_consistency","","train","Abnormal","00146945.png","train\\Abnormal\\00146945.png","train\\Abnormal\\00146945.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00146970.png","weighted_hn14_risk_consistency","","train","Abnormal","00146970.png","train\\Abnormal\\00146970.png","train\\Abnormal\\00146970.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00146996.png","weighted_hn14_risk_consistency","","train","Abnormal","00146996.png","train\\Abnormal\\00146996.png","train\\Abnormal\\00146996.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00146997.png","weighted_hn14_risk_consistency","","train","Abnormal","00146997.png","train\\Abnormal\\00146997.png","train\\Abnormal\\00146997.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147109.png","weighted_hn14_risk_consistency","","train","Abnormal","00147109.png","train\\Abnormal\\00147109.png","train\\Abnormal\\00147109.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147113.png","weighted_hn14_risk_consistency","","train","Abnormal","00147113.png","train\\Abnormal\\00147113.png","train\\Abnormal\\00147113.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147126.png","weighted_hn14_risk_consistency","","train","Abnormal","00147126.png","train\\Abnormal\\00147126.png","train\\Abnormal\\00147126.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147132.png","weighted_hn14_risk_consistency","","train","Abnormal","00147132.png","train\\Abnormal\\00147132.png","train\\Abnormal\\00147132.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147142.png","weighted_hn14_risk_consistency","","train","Abnormal","00147142.png","train\\Abnormal\\00147142.png","train\\Abnormal\\00147142.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147146.png","weighted_hn14_risk_consistency","","train","Abnormal","00147146.png","train\\Abnormal\\00147146.png","train\\Abnormal\\00147146.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147253.png","weighted_hn14_risk_consistency","","train","Abnormal","00147253.png","train\\Abnormal\\00147253.png","train\\Abnormal\\00147253.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147287.png","weighted_hn14_risk_consistency","","train","Abnormal","00147287.png","train\\Abnormal\\00147287.png","train\\Abnormal\\00147287.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147288.png","weighted_hn14_risk_consistency","","train","Abnormal","00147288.png","train\\Abnormal\\00147288.png","train\\Abnormal\\00147288.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147289.png","weighted_hn14_risk_consistency","","train","Abnormal","00147289.png","train\\Abnormal\\00147289.png","train\\Abnormal\\00147289.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147309.png","weighted_hn14_risk_consistency","","train","Abnormal","00147309.png","train\\Abnormal\\00147309.png","train\\Abnormal\\00147309.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147313.png","weighted_hn14_risk_consistency","","train","Abnormal","00147313.png","train\\Abnormal\\00147313.png","train\\Abnormal\\00147313.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147318.png","weighted_hn14_risk_consistency","","train","Abnormal","00147318.png","train\\Abnormal\\00147318.png","train\\Abnormal\\00147318.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147461.png","weighted_hn14_risk_consistency","","train","Abnormal","00147461.png","train\\Abnormal\\00147461.png","train\\Abnormal\\00147461.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147465.png","weighted_hn14_risk_consistency","","train","Abnormal","00147465.png","train\\Abnormal\\00147465.png","train\\Abnormal\\00147465.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147542.png","weighted_hn14_risk_consistency","","train","Abnormal","00147542.png","train\\Abnormal\\00147542.png","train\\Abnormal\\00147542.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147546.png","weighted_hn14_risk_consistency","","train","Abnormal","00147546.png","train\\Abnormal\\00147546.png","train\\Abnormal\\00147546.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147551.png","weighted_hn14_risk_consistency","","train","Abnormal","00147551.png","train\\Abnormal\\00147551.png","train\\Abnormal\\00147551.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147552.png","weighted_hn14_risk_consistency","","train","Abnormal","00147552.png","train\\Abnormal\\00147552.png","train\\Abnormal\\00147552.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147553.png","weighted_hn14_risk_consistency","","train","Abnormal","00147553.png","train\\Abnormal\\00147553.png","train\\Abnormal\\00147553.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147600.png","weighted_hn14_risk_consistency","","train","Abnormal","00147600.png","train\\Abnormal\\00147600.png","train\\Abnormal\\00147600.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147603.png","weighted_hn14_risk_consistency","","train","Abnormal","00147603.png","train\\Abnormal\\00147603.png","train\\Abnormal\\00147603.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147614.png","weighted_hn14_risk_consistency","","train","Abnormal","00147614.png","train\\Abnormal\\00147614.png","train\\Abnormal\\00147614.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147617.png","weighted_hn14_risk_consistency","","train","Abnormal","00147617.png","train\\Abnormal\\00147617.png","train\\Abnormal\\00147617.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147625.png","weighted_hn14_risk_consistency","","train","Abnormal","00147625.png","train\\Abnormal\\00147625.png","train\\Abnormal\\00147625.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147655.png","weighted_hn14_risk_consistency","","train","Abnormal","00147655.png","train\\Abnormal\\00147655.png","train\\Abnormal\\00147655.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147686.png","weighted_hn14_risk_consistency","","train","Abnormal","00147686.png","train\\Abnormal\\00147686.png","train\\Abnormal\\00147686.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147690.png","weighted_hn14_risk_consistency","","train","Abnormal","00147690.png","train\\Abnormal\\00147690.png","train\\Abnormal\\00147690.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147691.png","weighted_hn14_risk_consistency","","train","Abnormal","00147691.png","train\\Abnormal\\00147691.png","train\\Abnormal\\00147691.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147695.png","weighted_hn14_risk_consistency","","train","Abnormal","00147695.png","train\\Abnormal\\00147695.png","train\\Abnormal\\00147695.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147697.png","weighted_hn14_risk_consistency","","train","Abnormal","00147697.png","train\\Abnormal\\00147697.png","train\\Abnormal\\00147697.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147698.png","weighted_hn14_risk_consistency","","train","Abnormal","00147698.png","train\\Abnormal\\00147698.png","train\\Abnormal\\00147698.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147700.png","weighted_hn14_risk_consistency","","train","Abnormal","00147700.png","train\\Abnormal\\00147700.png","train\\Abnormal\\00147700.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147710.png","weighted_hn14_risk_consistency","","train","Abnormal","00147710.png","train\\Abnormal\\00147710.png","train\\Abnormal\\00147710.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147718.png","weighted_hn14_risk_consistency","","train","Abnormal","00147718.png","train\\Abnormal\\00147718.png","train\\Abnormal\\00147718.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147735.png","weighted_hn14_risk_consistency","","train","Abnormal","00147735.png","train\\Abnormal\\00147735.png","train\\Abnormal\\00147735.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147738.png","weighted_hn14_risk_consistency","","train","Abnormal","00147738.png","train\\Abnormal\\00147738.png","train\\Abnormal\\00147738.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147769.png","weighted_hn14_risk_consistency","","train","Abnormal","00147769.png","train\\Abnormal\\00147769.png","train\\Abnormal\\00147769.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147775.png","weighted_hn14_risk_consistency","","train","Abnormal","00147775.png","train\\Abnormal\\00147775.png","train\\Abnormal\\00147775.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147787.png","weighted_hn14_risk_consistency","","train","Abnormal","00147787.png","train\\Abnormal\\00147787.png","train\\Abnormal\\00147787.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147788.png","weighted_hn14_risk_consistency","","train","Abnormal","00147788.png","train\\Abnormal\\00147788.png","train\\Abnormal\\00147788.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147798.png","weighted_hn14_risk_consistency","","train","Abnormal","00147798.png","train\\Abnormal\\00147798.png","train\\Abnormal\\00147798.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147825.png","weighted_hn14_risk_consistency","","train","Abnormal","00147825.png","train\\Abnormal\\00147825.png","train\\Abnormal\\00147825.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147866.png","weighted_hn14_risk_consistency","","train","Abnormal","00147866.png","train\\Abnormal\\00147866.png","train\\Abnormal\\00147866.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147912.png","weighted_hn14_risk_consistency","","train","Abnormal","00147912.png","train\\Abnormal\\00147912.png","train\\Abnormal\\00147912.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147983.png","weighted_hn14_risk_consistency","","train","Abnormal","00147983.png","train\\Abnormal\\00147983.png","train\\Abnormal\\00147983.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147986.png","weighted_hn14_risk_consistency","","train","Abnormal","00147986.png","train\\Abnormal\\00147986.png","train\\Abnormal\\00147986.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00147988.png","weighted_hn14_risk_consistency","","train","Abnormal","00147988.png","train\\Abnormal\\00147988.png","train\\Abnormal\\00147988.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148034.png","weighted_hn14_risk_consistency","","train","Abnormal","00148034.png","train\\Abnormal\\00148034.png","train\\Abnormal\\00148034.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148044.png","weighted_hn14_risk_consistency","","train","Abnormal","00148044.png","train\\Abnormal\\00148044.png","train\\Abnormal\\00148044.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148046.png","weighted_hn14_risk_consistency","","train","Abnormal","00148046.png","train\\Abnormal\\00148046.png","train\\Abnormal\\00148046.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148062.png","weighted_hn14_risk_consistency","","train","Abnormal","00148062.png","train\\Abnormal\\00148062.png","train\\Abnormal\\00148062.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148067.png","weighted_hn14_risk_consistency","","train","Abnormal","00148067.png","train\\Abnormal\\00148067.png","train\\Abnormal\\00148067.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148068.png","weighted_hn14_risk_consistency","","train","Abnormal","00148068.png","train\\Abnormal\\00148068.png","train\\Abnormal\\00148068.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148079.png","weighted_hn14_risk_consistency","","train","Abnormal","00148079.png","train\\Abnormal\\00148079.png","train\\Abnormal\\00148079.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148088.png","weighted_hn14_risk_consistency","","train","Abnormal","00148088.png","train\\Abnormal\\00148088.png","train\\Abnormal\\00148088.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148110.png","weighted_hn14_risk_consistency","","train","Abnormal","00148110.png","train\\Abnormal\\00148110.png","train\\Abnormal\\00148110.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148111.png","weighted_hn14_risk_consistency","","train","Abnormal","00148111.png","train\\Abnormal\\00148111.png","train\\Abnormal\\00148111.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148189.png","weighted_hn14_risk_consistency","","train","Abnormal","00148189.png","train\\Abnormal\\00148189.png","train\\Abnormal\\00148189.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148202.png","weighted_hn14_risk_consistency","","train","Abnormal","00148202.png","train\\Abnormal\\00148202.png","train\\Abnormal\\00148202.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148236.png","weighted_hn14_risk_consistency","","train","Abnormal","00148236.png","train\\Abnormal\\00148236.png","train\\Abnormal\\00148236.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148250.png","weighted_hn14_risk_consistency","","train","Abnormal","00148250.png","train\\Abnormal\\00148250.png","train\\Abnormal\\00148250.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148263.png","weighted_hn14_risk_consistency","","train","Abnormal","00148263.png","train\\Abnormal\\00148263.png","train\\Abnormal\\00148263.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148265.png","weighted_hn14_risk_consistency","","train","Abnormal","00148265.png","train\\Abnormal\\00148265.png","train\\Abnormal\\00148265.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148266.png","weighted_hn14_risk_consistency","","train","Abnormal","00148266.png","train\\Abnormal\\00148266.png","train\\Abnormal\\00148266.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148268.png","weighted_hn14_risk_consistency","","train","Abnormal","00148268.png","train\\Abnormal\\00148268.png","train\\Abnormal\\00148268.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148276.png","weighted_hn14_risk_consistency","","train","Abnormal","00148276.png","train\\Abnormal\\00148276.png","train\\Abnormal\\00148276.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148282.png","weighted_hn14_risk_consistency","","train","Abnormal","00148282.png","train\\Abnormal\\00148282.png","train\\Abnormal\\00148282.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148309.png","weighted_hn14_risk_consistency","","train","Abnormal","00148309.png","train\\Abnormal\\00148309.png","train\\Abnormal\\00148309.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148316.png","weighted_hn14_risk_consistency","","train","Abnormal","00148316.png","train\\Abnormal\\00148316.png","train\\Abnormal\\00148316.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148375.png","weighted_hn14_risk_consistency","","train","Abnormal","00148375.png","train\\Abnormal\\00148375.png","train\\Abnormal\\00148375.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148389.png","weighted_hn14_risk_consistency","","train","Abnormal","00148389.png","train\\Abnormal\\00148389.png","train\\Abnormal\\00148389.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148414.png","weighted_hn14_risk_consistency","","train","Abnormal","00148414.png","train\\Abnormal\\00148414.png","train\\Abnormal\\00148414.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148438.png","weighted_hn14_risk_consistency","","train","Abnormal","00148438.png","train\\Abnormal\\00148438.png","train\\Abnormal\\00148438.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148487.png","weighted_hn14_risk_consistency","","train","Abnormal","00148487.png","train\\Abnormal\\00148487.png","train\\Abnormal\\00148487.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148491.png","weighted_hn14_risk_consistency","","train","Abnormal","00148491.png","train\\Abnormal\\00148491.png","train\\Abnormal\\00148491.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148492.png","weighted_hn14_risk_consistency","","train","Abnormal","00148492.png","train\\Abnormal\\00148492.png","train\\Abnormal\\00148492.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148589.png","weighted_hn14_risk_consistency","","train","Abnormal","00148589.png","train\\Abnormal\\00148589.png","train\\Abnormal\\00148589.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148599.png","weighted_hn14_risk_consistency","","train","Abnormal","00148599.png","train\\Abnormal\\00148599.png","train\\Abnormal\\00148599.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148617.png","weighted_hn14_risk_consistency","","train","Abnormal","00148617.png","train\\Abnormal\\00148617.png","train\\Abnormal\\00148617.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148683.png","weighted_hn14_risk_consistency","","train","Abnormal","00148683.png","train\\Abnormal\\00148683.png","train\\Abnormal\\00148683.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148687.png","weighted_hn14_risk_consistency","","train","Abnormal","00148687.png","train\\Abnormal\\00148687.png","train\\Abnormal\\00148687.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148742.png","weighted_hn14_risk_consistency","","train","Abnormal","00148742.png","train\\Abnormal\\00148742.png","train\\Abnormal\\00148742.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148743.png","weighted_hn14_risk_consistency","","train","Abnormal","00148743.png","train\\Abnormal\\00148743.png","train\\Abnormal\\00148743.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148744.png","weighted_hn14_risk_consistency","","train","Abnormal","00148744.png","train\\Abnormal\\00148744.png","train\\Abnormal\\00148744.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148779.png","weighted_hn14_risk_consistency","","train","Abnormal","00148779.png","train\\Abnormal\\00148779.png","train\\Abnormal\\00148779.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00148781.png","weighted_hn14_risk_consistency","","train","Abnormal","00148781.png","train\\Abnormal\\00148781.png","train\\Abnormal\\00148781.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149000.png","weighted_hn14_risk_consistency","","train","Abnormal","00149000.png","train\\Abnormal\\00149000.png","train\\Abnormal\\00149000.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149040.png","weighted_hn14_risk_consistency","","train","Abnormal","00149040.png","train\\Abnormal\\00149040.png","train\\Abnormal\\00149040.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149091.png","weighted_hn14_risk_consistency","","train","Abnormal","00149091.png","train\\Abnormal\\00149091.png","train\\Abnormal\\00149091.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149267.png","weighted_hn14_risk_consistency","","train","Abnormal","00149267.png","train\\Abnormal\\00149267.png","train\\Abnormal\\00149267.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149371.png","weighted_hn14_risk_consistency","","train","Abnormal","00149371.png","train\\Abnormal\\00149371.png","train\\Abnormal\\00149371.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149372.png","weighted_hn14_risk_consistency","","train","Abnormal","00149372.png","train\\Abnormal\\00149372.png","train\\Abnormal\\00149372.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149382.png","weighted_hn14_risk_consistency","","train","Abnormal","00149382.png","train\\Abnormal\\00149382.png","train\\Abnormal\\00149382.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149391.png","weighted_hn14_risk_consistency","","train","Abnormal","00149391.png","train\\Abnormal\\00149391.png","train\\Abnormal\\00149391.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149392.png","weighted_hn14_risk_consistency","","train","Abnormal","00149392.png","train\\Abnormal\\00149392.png","train\\Abnormal\\00149392.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149698.png","weighted_hn14_risk_consistency","","train","Abnormal","00149698.png","train\\Abnormal\\00149698.png","train\\Abnormal\\00149698.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149707.png","weighted_hn14_risk_consistency","","train","Abnormal","00149707.png","train\\Abnormal\\00149707.png","train\\Abnormal\\00149707.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149750.png","weighted_hn14_risk_consistency","","train","Abnormal","00149750.png","train\\Abnormal\\00149750.png","train\\Abnormal\\00149750.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149751.png","weighted_hn14_risk_consistency","","train","Abnormal","00149751.png","train\\Abnormal\\00149751.png","train\\Abnormal\\00149751.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149754.png","weighted_hn14_risk_consistency","","train","Abnormal","00149754.png","train\\Abnormal\\00149754.png","train\\Abnormal\\00149754.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149755.png","weighted_hn14_risk_consistency","","train","Abnormal","00149755.png","train\\Abnormal\\00149755.png","train\\Abnormal\\00149755.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149757.png","weighted_hn14_risk_consistency","","train","Abnormal","00149757.png","train\\Abnormal\\00149757.png","train\\Abnormal\\00149757.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149799.png","weighted_hn14_risk_consistency","","train","Abnormal","00149799.png","train\\Abnormal\\00149799.png","train\\Abnormal\\00149799.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149904.png","weighted_hn14_risk_consistency","","train","Abnormal","00149904.png","train\\Abnormal\\00149904.png","train\\Abnormal\\00149904.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149907.png","weighted_hn14_risk_consistency","","train","Abnormal","00149907.png","train\\Abnormal\\00149907.png","train\\Abnormal\\00149907.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00149964.png","weighted_hn14_risk_consistency","","train","Abnormal","00149964.png","train\\Abnormal\\00149964.png","train\\Abnormal\\00149964.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150013.png","weighted_hn14_risk_consistency","","train","Abnormal","00150013.png","train\\Abnormal\\00150013.png","train\\Abnormal\\00150013.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150118.png","weighted_hn14_risk_consistency","","train","Abnormal","00150118.png","train\\Abnormal\\00150118.png","train\\Abnormal\\00150118.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150233.png","weighted_hn14_risk_consistency","","train","Abnormal","00150233.png","train\\Abnormal\\00150233.png","train\\Abnormal\\00150233.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150409.png","weighted_hn14_risk_consistency","","train","Abnormal","00150409.png","train\\Abnormal\\00150409.png","train\\Abnormal\\00150409.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150411.png","weighted_hn14_risk_consistency","","train","Abnormal","00150411.png","train\\Abnormal\\00150411.png","train\\Abnormal\\00150411.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150433.png","weighted_hn14_risk_consistency","","train","Abnormal","00150433.png","train\\Abnormal\\00150433.png","train\\Abnormal\\00150433.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150434.png","weighted_hn14_risk_consistency","","train","Abnormal","00150434.png","train\\Abnormal\\00150434.png","train\\Abnormal\\00150434.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150499.png","weighted_hn14_risk_consistency","","train","Abnormal","00150499.png","train\\Abnormal\\00150499.png","train\\Abnormal\\00150499.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150500.png","weighted_hn14_risk_consistency","","train","Abnormal","00150500.png","train\\Abnormal\\00150500.png","train\\Abnormal\\00150500.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150503.png","weighted_hn14_risk_consistency","","train","Abnormal","00150503.png","train\\Abnormal\\00150503.png","train\\Abnormal\\00150503.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150507.png","weighted_hn14_risk_consistency","","train","Abnormal","00150507.png","train\\Abnormal\\00150507.png","train\\Abnormal\\00150507.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150595.png","weighted_hn14_risk_consistency","","train","Abnormal","00150595.png","train\\Abnormal\\00150595.png","train\\Abnormal\\00150595.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150621.png","weighted_hn14_risk_consistency","","train","Abnormal","00150621.png","train\\Abnormal\\00150621.png","train\\Abnormal\\00150621.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150624.png","weighted_hn14_risk_consistency","","train","Abnormal","00150624.png","train\\Abnormal\\00150624.png","train\\Abnormal\\00150624.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150626.png","weighted_hn14_risk_consistency","","train","Abnormal","00150626.png","train\\Abnormal\\00150626.png","train\\Abnormal\\00150626.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150627.png","weighted_hn14_risk_consistency","","train","Abnormal","00150627.png","train\\Abnormal\\00150627.png","train\\Abnormal\\00150627.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150747.png","weighted_hn14_risk_consistency","","train","Abnormal","00150747.png","train\\Abnormal\\00150747.png","train\\Abnormal\\00150747.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150748.png","weighted_hn14_risk_consistency","","train","Abnormal","00150748.png","train\\Abnormal\\00150748.png","train\\Abnormal\\00150748.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00150752.png","weighted_hn14_risk_consistency","","train","Abnormal","00150752.png","train\\Abnormal\\00150752.png","train\\Abnormal\\00150752.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00151233.png","weighted_hn14_risk_consistency","","train","Abnormal","00151233.png","train\\Abnormal\\00151233.png","train\\Abnormal\\00151233.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00151234.png","weighted_hn14_risk_consistency","","train","Abnormal","00151234.png","train\\Abnormal\\00151234.png","train\\Abnormal\\00151234.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00151238.png","weighted_hn14_risk_consistency","","train","Abnormal","00151238.png","train\\Abnormal\\00151238.png","train\\Abnormal\\00151238.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00151306.png","weighted_hn14_risk_consistency","","train","Abnormal","00151306.png","train\\Abnormal\\00151306.png","train\\Abnormal\\00151306.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00151352.png","weighted_hn14_risk_consistency","","train","Abnormal","00151352.png","train\\Abnormal\\00151352.png","train\\Abnormal\\00151352.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00151580.png","weighted_hn14_risk_consistency","","train","Abnormal","00151580.png","train\\Abnormal\\00151580.png","train\\Abnormal\\00151580.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00151616.png","weighted_hn14_risk_consistency","","train","Abnormal","00151616.png","train\\Abnormal\\00151616.png","train\\Abnormal\\00151616.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00151647.png","weighted_hn14_risk_consistency","","train","Abnormal","00151647.png","train\\Abnormal\\00151647.png","train\\Abnormal\\00151647.png","direct","True"
